case_name,grid,status,t_end_s,elapsed_s,water_error,energy_error,dV_from_coarser,dT_from_coarser_K,dice_from_coarser
-25℃,coarse,VALID,36.5999999999999,19.1404917,1.29250901959881e-12,6.21519025143464e-13,NaN,NaN,NaN
-25℃,medium,VALID,36.5999999999999,19.9328795,1.22074679195135e-12,4.15588182770744e-13,0.00954114445521831,0.0586448634815611,0.00243428933065243
-25℃,fine,VALID,36.5999999999999,23.7533097,5.21695232734065e-13,5.47637553443427e-12,0.0061397452074918,0.0366533328788705,0.000878728317233707
