case_name,grid,status,t_end_s,elapsed_s,water_error,energy_error,dV_from_coarser,dT_from_coarser_K,dice_from_coarser
-25℃,coarse,VALID,36.5999999999999,7.2338762,7.70263153446216e-13,1.16531840135863e-12,NaN,NaN,NaN
-25℃,medium,VALID,36.5999999999999,10.3235479,2.96620241430293e-12,3.05806902968041e-13,0.00243247983128442,0.0120132945342561,0.00144147909873951
-25℃,fine,VALID,36.5999999999999,24.472992,7.2146937889542e-12,2.61827837116757e-12,0.00246422522467332,0.0163083355202502,0.000534409875287717
