closure,case_name,status,ice_onset_s,ice_absolute_peak,ice_saturation_peak,liquid_saturation_peak,V_RMSE,T_RMSE_K,water_error,energy_error
direct_ice,-20℃,VALID,11.6,0.19161298260817,0.455462283356714,0,0.184322603909985,0.97699700057258,7.5159725757572e-13,1.23324481046229e-12
direct_ice,-25℃,VALID,10.8,0.19427759673453,0.461796046433396,0,0.20549243957548,1.09270932472239,7.70263153446216e-13,1.16531840135863e-12
delayed_threshold_0p20,-20℃,VALID,NaN,0,0,0.0342882192534896,0.18753026168403,0.896506193301279,1.47763413586928e-10,3.16130863463432e-09
delayed_threshold_0p20,-25℃,VALID,NaN,0,0,0.0348763426630966,0.216397669145824,1.02738446115144,2.24350121029346e-11,1.05777254720602e-11
delayed_threshold_0p03,-20℃,VALID,28.4,0.00272102932292964,0.00340128665366205,0.0336150602413653,0.187572577937045,0.899027838000681,1.476197601605e-10,3.1611714895898e-09
delayed_threshold_0p03,-25℃,VALID,27.4,0.00397948958298979,0.00497436197873724,0.0341889391770221,0.216457097120863,1.03149527127375,2.19797060570375e-11,1.05770847310963e-11
