case_name,result_type,V_RMSE,T_RMSE_K,water_error,energy_error
-20℃,unfitted_preview,0.185707424058254,0.985058343079883,2.40015029774374e-12,3.14746033255425e-13
-25℃,unfitted_preview,0.206377511960785,1.09925945492585,2.96620241430293e-12,3.05806902968041e-13
