time_s,V_sim,T_seven_C,T_MEA_C,ice_volume_max,ice_saturation_max,liquid_saturation_max,lambda_aCL,lambda_PEM,lambda_cCL,lambda_oversat_CL,CL_frozen_ion_water,gas_porosity_min,V_Erev,V_act,V_ohm,V_con,R_aCL,R_PEM,R_cCL,jlim_H,jlim_O,reaction_weight_max,nucleation_progress,V_exp,T_exp_C,water_residual,energy_residual
0,0.660153532315644,-20.0000000000001,-19.9999999999999,0,0,0,3,3,3,-4.30586212839377,0,0.3916,1.2587408922899,0.593333132663536,0.00525326382689116,9.63483830435633e-07,1.29609696047988e-05,2.2549813686065e-05,4.30761636865373e-05,3433603.49161106,373656.144221313,1,1,0.799,-19.9953547791121,0,0
0.2,0.657795183363608,-19.997883339436,-19.9930102392285,0,0,0,2.98557792683281,2.99977879451193,3.01420095431365,-4.29170782040059,0,0.3916,1.25873253615733,0.595432189242541,0.00550415172430491,1.0118268756728e-06,1.30178430547139e-05,2.25477081991532e-05,4.28514950539609e-05,3433667.64828003,373609.39913594,1.00000118880817,1,0.799,-19.9953547791121,-2.51196388622756e-18,-5.06032368785547e-12
0.4,0.660198587938126,-19.9960978420935,-19.9914294618351,0,0,0,2.97782667635178,2.9994687114592,3.0271238490962,-4.27586493504085,0,0.3916,1.25873122016939,0.593298736465844,0.00523293213060375,9.63634815689313e-07,1.30507678140941e-05,2.25500333777458e-05,4.26781205868068e-05,3433684.39434145,373613.756589301,1.00000124429098,1,0.8,-19.9939052077991,-2.29192557148233e-18,-1.45502075665771e-10
0.6,0.660210678472759,-19.9943480450415,-19.9896873057095,0,0,0,2.9731672724236,2.99921481943687,3.03872410758702,-4.26072104195663,0,0.3916,1.2587296855178,0.593293278905715,0.00522476450290131,9.63636427077543e-07,1.30720222493339e-05,2.25517318447206e-05,4.25314281249003e-05,3433702.04364713,373615.694807968,1.00000122857802,1,0.8,-19.992502715072,-2.15668485005236e-18,-2.32121641352556e-10
0.8,0.657833820210983,-19.9925386498028,-19.9876408268395,0,0,0,2.9695431884565,2.99906745702044,3.04988140683372,-4.24580718415043,0,0.3916,1.25872777257137,0.595415294210578,0.0054776463176513,1.01183216149439e-06,1.30887440162995e-05,2.25522324132947e-05,4.23936347250887e-05,3433722.62110556,373615.402812961,1.00000126743962,1,0.8,-19.991066017965,-2.179237102273e-18,-2.62513830118216e-10
1,0.660234191975968,-19.9907652778803,-19.9860892353761,0,0,0,2.96707011570224,2.99904388722165,3.06025786050105,-4.23146570858703,0,0.3916,1.25872649643406,0.593281937819295,0.00520940299889648,9.63639903338061e-07,1.31003728549583e-05,2.25518766109991e-05,4.22702059673244e-05,3433738.81131465,373619.672990864,1.00000127560418,1,0.8,-19.9896333486865,-1.94632951155767e-18,-2.25983870505431e-10
1.2,0.660244912770505,-19.9890286557038,-19.984363237159,0,0,0,2.9655546018695,2.99915996977561,3.06962037023784,-4.21833863807293,0,0.3916,1.25872497885292,0.593276540965433,0.00520256147540978,9.63641570008064e-07,1.31076490019637e-05,2.2550062917722e-05,4.21610944327725e-05,3433756.22059271,373621.561249539,1.00000124112224,1,0.8,-19.9882428989544,-2.39871789728537e-18,-1.51661877501041e-10
1.4,0.657867924261488,-19.9872330013557,-19.9823331080105,0,0,0,2.96403756108112,2.99940481285823,3.07876245646058,-4.20567152157186,0,0.3916,1.25872308164231,0.595398656871159,0.00545548867219012,1.0118374746889e-06,1.31143927906293e-05,2.25468275631562e-05,4.2053687630672e-05,3433776.62768053,373621.274983954,1.00000127643468,1,0.8,-19.9868180776747,-2.26282204881026e-18,-6.61694032899618e-11
1.6,0.665380173736072,-19.9855988813085,-19.9813895905377,0,0,0,2.96385056294925,2.99977821993104,3.08658109109332,-4.19428327261694,0,0.3916,1.25872254952794,0.588670692038188,0.0046708164940412,8.67259640893768e-07,1.31154296415729e-05,2.2543050150398e-05,4.19669311910559e-05,3433787.15356194,373629.973523989,1.00000121729244,1,0.8,-19.985473550325,-1.959200441889e-18,9.89952009256001e-11
1.8,0.655600106116996,-19.9838125581723,-19.978698746038,0,0,0,2.96301671944762,3.0002767569484,3.09438820217256,-4.18368063274143,0,0.3916,1.25871978185502,0.597416792783267,0.00570182291829247,1.06003646660626e-06,1.31186050122834e-05,2.25369477308473e-05,4.18740992678974e-05,3433813.05225625,373622.707089049,1.00000123777818,1,0.8,-19.9840946143707,-1.94396708372822e-18,2.57307064543966e-10
2,0.660286205879037,-19.9820290741901,-19.9773401272813,0,0,0,2.96217100331934,3.0008621594772,3.10235632168453,-4.17260205526995,0,0.3916,1.25871875738189,0.593254416039808,0.00517717181483075,9.6364821771751e-07,1.31215480496332e-05,2.2530906695781e-05,4.17816982492716e-05,3433827.96312186,373629.373989249,1.00000132072653,1,0.8,-19.9826430118958,-1.82842649576681e-18,2.92709662064183e-10
2.2,0.657909372466327,-19.9802533384487,-19.9753533243891,0,0,0,2.9619576171367,3.00155298586988,3.10952757997467,-4.16272761545661,0,0.3916,1.25871691406856,0.595376782309288,0.00542974744856784,1.01184437135659e-06,1.31218260300019e-05,2.25234477019759e-05,4.16982251687867e-05,3433847.65176512,373629.028425473,1.00000128682203,1,0.8,-19.9812337391118,-1.60390982518522e-18,4.00402572209302e-10
2.4,0.660305838174886,-19.9785119374142,-19.9738334815264,0,0,0,2.9620397682548,3.00233899016115,3.11627413710772,-4.15333966353566,0,0.3916,1.25871566611797,0.593243422822273,0.00516544146927084,9.63651540243781e-07,1.31206366210412e-05,2.25153852087841e-05,4.16204164296279e-05,3433863.50300901,373633.248316248,1.00000129672452,1,0.8,-19.9798283691447,1.04965381614937e-17,3.43799821944657e-10
