name,N,area_cm2,charge_Ccm2,reportedCharge_Ccm2,water_mgcm2,j_report_max_relative_difference,Vmin,Tfinal_C
-20℃,184,303,6.60221122112211,6.4239,0.615843876830913,0.311363636363636,0.484,-12.1858910365791
-25℃,184,303,6.60221122112208,6.60221122112208,0.61584387683091,0,0.482,-17.1093777353563
