experiment,case_name,status,event,t_end_s,V_RMSE,T_RMSE_K,ice_absolute_final,ice_saturation_final,water_error,energy_error
S2_liquid_route,-20℃,VALID,,36.6,0.215253599635531,1.11406905129636,0.246953904354378,0.587007141322506,1.9566531196969e-12,2.32366459715227e-12
S2_liquid_route,-25℃,VALID,,36.5999999999999,0.246962823761002,1.2725386802461,0.248527868199696,0.590748438791765,2.2201249008595e-12,2.77262552980984e-13
S6_liquid_migration,-20℃,VALID,,36.6,0.215253596222911,1.11406933860841,0.246953922434736,0.587007184299349,1.15251422828481e-12,7.18995023357528e-13
S6_liquid_migration,-25℃,VALID,,36.5999999999999,0.246962807933483,1.27253860628079,0.248527867219746,0.590748436462433,2.0178901274879e-12,5.07989400237472e-13
