Db_scale,case_name,status,V_RMSE,T_RMSE_K,lambda_aCL_end
1,-20℃,VALID,0.0554424755237602,0.183602548493259,2.68962822239429
1,-25℃,VALID,0.0668473599106298,0.359757467407501,2.20407188377708
2,-20℃,VALID,0.0556373042318605,0.0785203634591149,4.57463709184815
2,-25℃,VALID,0.0438997476335654,0.155629798681565,3.83703575646244
3,-20℃,VALID,0.0590455973556796,0.107340992885502,5.69323795599648
3,-25℃,VALID,0.0436313337512412,0.103148036783268,4.81606056671495
